S.No.,Model Details,Superb,Good,Fair,Slug,ProductURL,Details
1,Refurbished Apple Iphone 13,"Rs. 25,999","Rs. 25,999","Rs. 25,999",refurbished-apple-iphone-13,https://grest.in/products/refurbished-apple-iphone-13,
2,Refurbished Iphone 11,"Rs. 15,099","Rs. 15,099","Rs. 15,099",refurbished-iphone-11,https://grest.in/products/refurbished-iphone-11,
3,Refurbished Apple Iphone 12,"Rs. 20,099","Rs. 20,099","Rs. 20,099",refurbished-apple-iphone-12,https://grest.in/products/refurbished-apple-iphone-12,
4,Iphone 15,"Rs. 38,999","Rs. 38,999","Rs. 38,999",iphone-15,https://grest.in/products/iphone-15,
5,Refurbished Iphone 12 Mini,"Rs. 17,999","Rs. 17,999","Rs. 17,999",refurbished-iphone-12-mini,https://grest.in/products/refurbished-iphone-12-mini,
6,Refurbished Apple Iphone 14 Plus,"Rs. 38,799","Rs. 38,799","Rs. 38,799",refurbished-apple-iphone-14-plus,https://grest.in/products/refurbished-apple-iphone-14-plus,
7,Refurbished Iphone Xr 64Gb Price In India,"Rs. 16,449","Rs. 16,449","Rs. 16,449",refurbished-iphone-xr-64gb-price-in-india,https://grest.in/products/refurbished-iphone-xr-64gb-price-in-india,
8,Refurbished Apple Iphone Xs,"Rs. 13,499","Rs. 13,499","Rs. 13,499",refurbished-apple-iphone-xs,https://grest.in/products/refurbished-apple-iphone-xs,
9,Refurbished Apple Iphone 14,"Rs. 32,499","Rs. 32,499","Rs. 32,499",refurbished-apple-iphone-14,https://grest.in/products/refurbished-apple-iphone-14,
10,Refurbished Apple Iphone 14 Pro Max,"Rs. 59,099","Rs. 59,099","Rs. 59,099",refurbished-apple-iphone-14-pro-max,https://grest.in/products/refurbished-apple-iphone-14-pro-max,
11,Refurbished Apple Iphone 14 Pro,"Rs. 51,999","Rs. 51,999","Rs. 51,999",refurbished-apple-iphone-14-pro,https://grest.in/products/refurbished-apple-iphone-14-pro,
12,Refurbished Apple Iphone 12 Pro Max,"Rs. 34,099","Rs. 34,099","Rs. 34,099",refurbished-apple-iphone-12-pro-max,https://grest.in/products/refurbished-apple-iphone-12-pro-max,
13,Refurbished Apple Iphone 12 Pro,"Rs. 30,099","Rs. 30,099","Rs. 30,099",refurbished-apple-iphone-12-pro,https://grest.in/products/refurbished-apple-iphone-12-pro,
14,Refurbished Iphone X Price In India,"Rs. 14,499","Rs. 14,499","Rs. 14,499",refurbished-iphone-x-price-in-india,https://grest.in/products/refurbished-iphone-x-price-in-india,
15,Refurbished Apple Iphone 15 Pro,"Rs. 65,099","Rs. 65,099","Rs. 65,099",refurbished-apple-iphone-15-pro,https://grest.in/products/refurbished-apple-iphone-15-pro,
16,Refurbished Apple Iphone 15 Plus,"Rs. 44,099","Rs. 44,099","Rs. 44,099",refurbished-apple-iphone-15-plus,https://grest.in/products/refurbished-apple-iphone-15-plus,
17,Refurbished Iphone 13 Pro,"Rs. 42,499","Rs. 42,499","Rs. 42,499",refurbished-iphone-13-pro,https://grest.in/products/refurbished-iphone-13-pro,
18,Refurbished Apple Iphone 11 Pro Max,"Rs. 25,099","Rs. 25,099","Rs. 25,099",refurbished-apple-iphone-11-pro-max,https://grest.in/products/refurbished-apple-iphone-11-pro-max,
19,Iphone 15 Pro Max,"Rs. 77,099","Rs. 77,099","Rs. 77,099",iphone-15-pro-max,https://grest.in/products/iphone-15-pro-max,
20,Refurbished Apple Iphone Xs Max,"Rs. 16,099","Rs. 16,099","Rs. 16,099",refurbished-apple-iphone-xs-max,https://grest.in/products/refurbished-apple-iphone-xs-max,
21,Refurbished Apple Iphone 11 Pro,"Rs. 23,099","Rs. 23,099","Rs. 23,099",refurbished-apple-iphone-11-pro,https://grest.in/products/refurbished-apple-iphone-11-pro,
22,Iphone 16,"Rs. 51,099","Rs. 51,099","Rs. 51,099",iphone-16,https://grest.in/products/iphone-16,
23,Refurbished Apple Iphone 13 Mini,"Rs. 26,999","Rs. 26,999","Rs. 26,999",refurbished-apple-iphone-13-mini,https://grest.in/products/refurbished-apple-iphone-13-mini,
24,Refurbished Apple iPhone 13 Pro Max,"Rs. 49,499",,"Rs. 49,499",apple-iphone-13-pro-max,https://grest.in/products/apple-iphone-13-pro-max,
